id,participant_id,timestamp_utc,phase,post_id,category,has_face,has_text,colorfulness,visual_complexity,was_seen,liked,response,correct,confidence,dwell_time_sec,feed_position
260,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:39:08.563705,memory,ocean_bright,travel,0,0,bright,low,0,,0,1,3,5.477,
261,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:39:14.127453,memory,trees_dark,travel,0,0,dark,medium,1,,1,1,4,5.416,
262,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:39:20.971956,memory,eiffel_dark,travel,0,0,dark,medium,0,,0,1,5,6.699,
263,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:39:25.346772,memory,sunset_person,travel,1,0,unknown,medium,1,,1,1,4,4.206,
264,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:39:33.729444,memory,forest_bright,travel,0,0,bright,low,1,,0,0,3,8.246,
265,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:39:46.763641,memory,trees_bright,travel,0,0,bright,medium,1,,1,1,4,12.888,
266,23060434-557f-4f0a-bf66-ddfefdff51e6,2026-05-01T23:39:49.307773,memory,lighthouse_brighter,travel,0,0,bright,low,1,,1,1,3,2.418,
267,de366f47-7ec6-4d0b-8e4b-0b814bbf1f24,2026-05-01T23:46:33.412986,feed,lighthouse_brighter,travel,0,0,bright,low,1,0,,,,11.911,1
268,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:04:55.195479,feed,sunset_person,travel,1,0,unknown,medium,1,1,,,,10.013,1
269,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:08.163264,feed,ocean_bright,travel,0,0,bright,low,1,0,,,,11.716,2
270,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:19.975901,feed,lighthouse_darker,travel,0,0,dark,low,1,1,,,,11.094,3
271,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:24.128054,feed,beach,travel,0,0,unknown,medium,1,1,,,,3.953,4
272,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:29.461569,feed,ocean_dark,travel,0,0,dark,low,1,0,,,,4.983,5
273,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:37.028241,feed,eiffel_dark,travel,0,0,dark,medium,1,0,,,,7.272,6
274,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:39.892615,feed,trees_bright,travel,0,0,bright,medium,1,0,,,,2.69,7
275,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:45.325685,feed,forest_dark,travel,0,0,dark,low,1,1,,,,5.275,8
276,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:49.662775,feed,lighthouse_bright,travel,0,0,bright,low,1,1,,,,4.186,9
277,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:05:53.920881,feed,lighthouse_brighter,travel,0,0,bright,low,1,1,,,,4.05,10
278,fad9fdd6-6924-4a85-b769-ec719561b4ee,2026-05-04T02:06:05.525882,distractor,,,,,,,,,Coffee,,,,
